Object 1 Volume,Object 1 Grasping Length,"Object 1 Shape (Cuboid, Sphere, Cylinder)",Object 2 Volume,Object 2 Grasping Length,"Object 2 Shape (Cuboid, Sphere, Cylinder)",Remaining Workspace Volume after first grasp,Remaining Workspace Volume after both grasps
0.00013824,0.06,"[1, 0, 0]",0.000248936,0.074,"[1, 0, 0]",0.006594425215547,0.0031074988128694
0.0001764,0.1,"[1, 0, 0]",8.112e-05,0.03,"[1, 0, 0]",0.0066015573533082,0.0030852473666306
2.05795e-05,0.0,"[0, 1, 0]",8.2448e-05,0.0,"[0, 1, 0]",0.0066941740704365,0.0031331767007576
7.2382e-06,0.0,"[0, 1, 0]",0.000105,0.042,"[1, 0, 0]",0.0067029287543201,0.0031331885839376
8.0408e-05,0.038,"[1, 0, 0]",7.0686e-06,0.01,"[0, 0, 1]",0.0066599681449337,0.0031279233848908
8.14301e-05,0.08,"[0, 0, 1]",3.29176e-05,0.062,"[0, 0, 1]",0.0066721154051264,0.0031321738891265
1.75929e-05,0.056,"[0, 0, 1]",1.68892e-05,0.084,"[0, 0, 1]",0.006702446289605,0.0031332101976055
7.88163e-05,0.098,"[0, 0, 1]",1.71573e-05,0.0,"[0, 1, 0]",0.0066795244667713,0.0031324281559096
5.0965e-05,0.0,"[0, 1, 0]",9.2028e-06,0.0,"[0, 1, 0]",0.0066724320461194,0.0031308395391911
7.744e-05,0.04,"[1, 0, 0]",5.0688e-05,0.022,"[1, 0, 0]",0.0066603239292554,0.0031254956652373
3.83274e-05,0.122,"[0, 0, 1]",3.4344e-05,0.106,"[1, 0, 0]",0.0066970464022043,0.0031334474884829
0.0001614025,0.076,"[0, 0, 1]",0.0001184,0.074,"[1, 0, 0]",0.0066498952208552,0.0031229514873567
0.0001021604,0.0,"[0, 1, 0]",2.048e-05,0.02,"[1, 0, 0]",0.0066326910505557,0.0031228232691392
8.53445e-05,0.094,"[0, 0, 1]",2.1447e-06,0.0,"[0, 1, 0]",0.0066813642090737,0.0031323973100292
7.80811e-05,0.086,"[0, 0, 1]",3.6504e-05,0.054,"[1, 0, 0]",0.0066821003622422,0.0031324712243527
3.888e-06,0.012,"[1, 0, 0]",2.66093e-05,0.07,"[0, 0, 1]",0.0067044645682798,0.0031333676249436
